ROUTE_SHORT_NAME,ROUTE_LONG_NAME,Number of Bus Only Lanes
38,Brentwood Station/Temple,0
68,68 St E,0
150,114 Av SE,0
555,Dashmesh Centre,1
440,Chateau Estates/Franklin Station,0
43,McKnight - Westwinds Station/Chinook Station,0
101,Inglewood,2
4,Huntington,0
80,Homestead,0
75,Somerset - Mahogany,0
149,Point Trotter Industrial,0
79,Cranston / Mahogany,0
147,Starfield Industrial,0
167,Legacy,0
300,BRT Airport/City Centre,2
302,BRT Southeast/City Centre,2
307,MAX Purple City Centre/East Hills,2
78,Sundance/Chaparral,0
67,Memorial Dr E,1
136,Corner Meadows / Cornerbrook,0
106,Southland/Deerfoot Meadows,0
20,Heritage Station/Northmount Dr N,0
24,Ogden,0
17,Renfrew/Ramsay,0
3,Sandstone/Elbow Dr SW,2
64,MacEwan Express,2
109,Harvest Hills Express,2
88,Harvest Hills,0
42,Marlborough,1
71,Taradale,0
61,Martindale,0
59,Savanna,0
85,Martin Crossing,0
159,Saddlebrook,0
153,Copperfield,0
14,Bridlewood/Cranston,0
152,New Brighton,0
23,52 St E,4
142,Panorama Express,2
28,Deer Run,0
145,West Skyview Ranch / Redstone,0
41,Lynnwood,0
114,Panorama/Country Hills,0
44,Deer Ridge,0
99,Acadia/Oakridge,0
11,Southwest Loop,0
12,Southwest Loop,0
301,BRT North/City Centre,2
60,Taradale,0
148,Great Plains Industrial,0
128,East Skyview Ranch / Redstone,0
21,Castleridge,0
55,Falconridge,0
58,Erin Woods/44 St SE,0
87,Applewood/17 Av SE,0
135,Erin Woods/36 St SE,0
89,Lions Park - North Pointe,0
100,Airport,0
102,Millrise/Silverado,0
116,Coventry Hills Express,2
32,Huntington/Sunridge,0
34,Pineridge,2
92,McKenzie Towne,1
35,Bonavista/Canyon Meadows,0
29,Queensland,0
48,Rundle,1
49,Forest Heights,1
117,McKenzie Towne Express,3
56,Woodbine,0
155,West Dover/Forest Lawn,0
8,North Pointe Terminal/Foothills Medical Centre,0
127,Maryvale/Franklin Industrial,0
118,Hidden Valley,0
119,Freeport,0
96,McKenzie,0
57,Monterey Park/ McCall Wy NE,0
33,Vista Heights/Rundle,0
27,Willowglen,0
157,West Stoney Industrial,0
69,Deerfoot Centre,0
86,Coventry Hills,0
30,Highfield Industrial,0
194,Chaparral Valley/Wolf Willow,0
83,Parkland,0
36,Riverbend,0
46,Beddington,0
10,City Hall/Southcentre,0
449,Eau Claire/Parkhill,0
2,Mount Pleasant/Killarney 17 Av SW,0
5,North Haven,0
81,Macleod Tr S,0
421,Panatella,0
7,Marda Loop,0
82,Nolan Hill,0
54,Edgevalley,0
95,Palliser,0
154,Hamptons,0
19,16 Avenue North,0
422,Dalhousie/Montgomery,0
138,Citadel,0
76,Hawkwood,0
94,Strathcona/Signal Hill,0
125,Cedarbrae,0
111,Old Banff Coach Road,0
113,North Ranchlands/Scenic Acres,0
164,Aspen Summit,0
120,Silver Springs,0
134,Rockland Park,0
299,Arbour Lake,0
40,Crowfoot Station/North Hill,0
97,South Ranchlands/Scenic Acres,0
53,Brentwood Station/Greenwood,0
51,West Springs/Discovery Ridge,0
126,Braeside,0
13,Altadore,0
37,Heritage Station/Canyon Meadows,0
131,East Bow Express,1
151,New Brighton Express,3
124,Evanston,0
115,Symons Valley Parkway,0
414,14 St W,0
22,Richmond Rd SW,0
52,Evergreen/Somerset-Bridlewood Station,0
6,Killarney/26 Av SW,0
404,North Hill,0
62,Hidden Valley Express,2
304,MAX Yellow Woodpark/City Centre,0
104,Sunnyside/University of Calgary,0
91,Foothills Medical Centre,0
66,Lakeview,0
90,Bridgeland/University of Calgary,1
303,MAX Orange Brentwood/Saddletowne,0
77,Edgemont,0
306,MAX Teal Westbrook/Douglas Glen,0
129,Dalhousie Station/Sage Hill,0
93,Coach Hill/Westbrook Station,0
123,Sage Hill/North Pointe Terminal,0
105,Dalhousie Station/Lions Park Station,0
9,Dalhousie Station/Chinook Station,0
65,Market Mall/Downtown West,0
98,Cougar Ridge,0
1,Bowness/Forest Lawn,2
156,Aspen Woods,0
26,Sarcee Trail Crosstown,0
74,Tuscany,0
158,Royal Oak,0
201,Red Line,0
174,Tuscany,0
169,Rocky Ridge,0
108,Paskapoo Slopes,0
70,Valley Ridge Express,0
