Route_Short_Name,Route_Long_Name,Traffic_Volume,Incidents,Number_of_Bus-Only-Lanes
38,Brentwood Station/Temple,365330,1228,0
68,68 St E,257550,1212,0
150,114 Av SE,476980,1169,0
555,Dashmesh Centre,58000,1119,1
440,Chateau Estates/Franklin Station,116550,701,0
43,McKnight - Westwinds Station/Chinook Station,747780,2804,0
101,Inglewood,430000,1001,2
4,Huntington,500000,1776,0
80,Homestead,47950,161,0
75,Somerset - Mahogany,419420,795,0
149,Point Trotter Industrial,330780,874,0
79,Cranston / Mahogany,56040,154,0
147,Starfield Industrial,166980,641,0
167,Legacy,238620,383,0
300,BRT Airport/City Centre,729790,1880,2
302,BRT Southeast/City Centre,551670,1919,2
307,MAX Purple City Centre/East Hills,385100,1825,2
78,Sundance/Chaparral,281920,463,0
67,Memorial Dr E,40000,581,1
136,Corner Meadows / Cornerbrook,133000,595,0
106,Southland/Deerfoot Meadows,215560,675,0
20,Heritage Station/Northmount Dr N,1099000,2715,0
24,Ogden,529980,984,0
17,Renfrew/Ramsay,474000,1126,0
3,Sandstone/Elbow Dr SW,810000,2005,2
64,MacEwan Express,442000,1595,2
109,Harvest Hills Express,515000,1637,2
88,Harvest Hills,101000,201,0
42,Marlborough,40000,727,1
71,Taradale,0,402,0
61,Martindale,0,231,0
59,Savanna,0,183,0
85,Martin Crossing,0,273,0
159,Saddlebrook,0,259,0
153,Copperfield,385140,711,0
14,Bridlewood/Cranston,331500,706,0
152,New Brighton,0,86,0
23,52 St E,252620,2619,4
142,Panorama Express,543000,1797,2
28,Deer Run,0,188,0
145,West Skyview Ranch / Redstone,67000,525,0
41,Lynnwood,630760,1719,0
114,Panorama/Country Hills,46000,296,0
44,Deer Ridge,0,202,0
99,Acadia/Oakridge,53000,624,0
11,Southwest Loop,171000,491,0
12,Southwest Loop,165000,507,0
301,BRT North/City Centre,492000,1585,2
60,Taradale,0,229,0
148,Great Plains Industrial,648980,2112,0
128,East Skyview Ranch / Redstone,67000,540,0
21,Castleridge,0,353,0
55,Falconridge,0,352,0
58,Erin Woods/44 St SE,22000,525,0
87,Applewood/17 Av SE,49000,893,0
135,Erin Woods/36 St SE,49000,689,0
89,Lions Park - North Pointe,184000,1258,0
100,Airport,205040,857,0
102,Millrise/Silverado,43300,260,0
116,Coventry Hills Express,483000,1807,2
32,Huntington/Sunridge,421720,1116,0
34,Pineridge,0,420,2
92,McKenzie Towne,551740,1309,1
35,Bonavista/Canyon Meadows,245000,313,0
29,Queensland,90000,158,0
48,Rundle,0,426,1
49,Forest Heights,18000,705,1
117,McKenzie Towne Express,1357370,5009,3
56,Woodbine,359000,734,0
155,West Dover/Forest Lawn,0,576,0
8,North Pointe Terminal/Foothills Medical Centre,319000,653,0
127,Maryvale/Franklin Industrial,18000,455,0
118,Hidden Valley,0,146,0
119,Freeport,34000,832,0
96,McKenzie,438980,959,0
57,Monterey Park/ McCall Wy NE,62000,405,0
33,Vista Heights/Rundle,60000,782,0
27,Willowglen,0,63,0
157,West Stoney Industrial,151270,852,0
69,Deerfoot Centre,701330,1352,0
86,Coventry Hills,0,165,0
30,Highfield Industrial,151000,691,0
194,Chaparral Valley/Wolf Willow,238620,488,0
83,Parkland,0,117,0
36,Riverbend,630760,1717,0
46,Beddington,0,243,0
10,City Hall/Southcentre,547000,1621,0
449,Eau Claire/Parkhill,348000,971,0
2,Mount Pleasant/Killarney 17 Av SW,767000,2104,0
5,North Haven,563000,1997,0
81,Macleod Tr S,140000,1258,0
421,Panatella,0,130,0
7,Marda Loop,521000,1500,0
82,Nolan Hill,391600,746,0
54,Edgevalley,0,210,0
95,Palliser,53000,210,0
154,Hamptons,0,214,0
19,16 Avenue North,749510,1722,0
422,Dalhousie/Montgomery,80000,185,0
138,Citadel,122660,325,0
76,Hawkwood,0,148,0
94,Strathcona/Signal Hill,0,122,0
125,Cedarbrae,53000,241,0
111,Old Banff Coach Road,102000,520,0
113,North Ranchlands/Scenic Acres,52000,136,0
164,Aspen Summit,59000,300,0
120,Silver Springs,197000,216,0
134,Rockland Park,201410,241,0
299,Arbour Lake,52000,41,0
40,Crowfoot Station/North Hill,475000,1125,0
97,South Ranchlands/Scenic Acres,52000,122,0
53,Brentwood Station/Greenwood,136000,371,0
51,West Springs/Discovery Ridge,54040,264,0
126,Braeside,53000,241,0
13,Altadore,577000,1504,0
37,Heritage Station/Canyon Meadows,81000,196,0
131,East Bow Express,851000,1750,1
151,New Brighton Express,1892390,5008,3
124,Evanston,62210,243,0
115,Symons Valley Parkway,90210,619,0
414,14 St W,415000,809,0
22,Richmond Rd SW,665000,1604,0
52,Evergreen/Somerset-Bridlewood Station,134000,473,0
6,Killarney/26 Av SW,605000,1602,0
404,North Hill,40000,346,0
62,Hidden Valley Express,479000,1647,2
304,MAX Yellow Woodpark/City Centre,994000,2842,0
104,Sunnyside/University of Calgary,178000,522,0
91,Foothills Medical Centre,256000,467,0
66,Lakeview,650000,1301,0
90,Bridgeland/University of Calgary,975000,2130,1
303,MAX Orange Brentwood/Saddletowne,908510,3497,0
77,Edgemont,0,160,0
306,MAX Teal Westbrook/Douglas Glen,637780,2347,0
129,Dalhousie Station/Sage Hill,58380,420,0
93,Coach Hill/Westbrook Station,59000,561,0
123,Sage Hill/North Pointe Terminal,206600,399,0
105,Dalhousie Station/Lions Park Station,114000,510,0
9,Dalhousie Station/Chinook Station,938000,2566,0
65,Market Mall/Downtown West,347000,729,0
98,Cougar Ridge,0,233,0
1,Bowness/Forest Lawn,740550,2705,2
156,Aspen Woods,0,120,0
26,Sarcee Trail Crosstown,332020,652,0
74,Tuscany,42000,22,0
158,Royal Oak,42000,109,0
201,Red Line,921140,2129,0
174,Tuscany,0,22,0
169,Rocky Ridge,0,51,0
108,Paskapoo Slopes,231000,364,0
70,Valley Ridge Express,893000,1865,0
