Route_Short_Name,Route_Long_Name,Traffic_Volume,Incidents
38,Brentwood Station/Temple,365330,1228
68,68 St E,257550,1212
150,114 Av SE,476980,1169
555,Dashmesh Centre,58000,1119
440,Chateau Estates/Franklin Station,116550,701
43,McKnight - Westwinds Station/Chinook Station,747780,2804
101,Inglewood,430000,1001
4,Huntington,500000,1776
80,Homestead,47950,161
75,Somerset - Mahogany,419420,795
149,Point Trotter Industrial,330780,874
79,Cranston / Mahogany,56040,154
147,Starfield Industrial,166980,641
167,Legacy,238620,383
300,BRT Airport/City Centre,729790,1880
302,BRT Southeast/City Centre,551670,1919
307,MAX Purple City Centre/East Hills,385100,1825
78,Sundance/Chaparral,281920,463
67,Memorial Dr E,40000,581
136,Corner Meadows / Cornerbrook,133000,595
106,Southland/Deerfoot Meadows,215560,675
20,Heritage Station/Northmount Dr N,1099000,2715
24,Ogden,529980,984
17,Renfrew/Ramsay,474000,1126
3,Sandstone/Elbow Dr SW,810000,2005
64,MacEwan Express,442000,1595
109,Harvest Hills Express,515000,1637
88,Harvest Hills,101000,201
42,Marlborough,40000,727
71,Taradale,0,402
61,Martindale,0,231
59,Savanna,0,183
85,Martin Crossing,0,273
159,Saddlebrook,0,259
153,Copperfield,385140,711
14,Bridlewood/Cranston,331500,706
152,New Brighton,0,86
23,52 St E,252620,2619
142,Panorama Express,543000,1797
28,Deer Run,0,188
145,West Skyview Ranch / Redstone,67000,525
41,Lynnwood,630760,1719
114,Panorama/Country Hills,46000,296
44,Deer Ridge,0,202
99,Acadia/Oakridge,53000,624
11,Southwest Loop,171000,491
12,Southwest Loop,165000,507
301,BRT North/City Centre,492000,1585
60,Taradale,0,229
148,Great Plains Industrial,648980,2112
128,East Skyview Ranch / Redstone,67000,540
21,Castleridge,0,353
55,Falconridge,0,352
58,Erin Woods/44 St SE,22000,525
87,Applewood/17 Av SE,49000,893
135,Erin Woods/36 St SE,49000,689
89,Lions Park - North Pointe,184000,1258
100,Airport,205040,857
102,Millrise/Silverado,43300,260
116,Coventry Hills Express,483000,1807
32,Huntington/Sunridge,421720,1116
34,Pineridge,0,420
92,McKenzie Towne,551740,1309
35,Bonavista/Canyon Meadows,245000,313
29,Queensland,90000,158
48,Rundle,0,426
49,Forest Heights,18000,705
117,McKenzie Towne Express,1357370,5009
56,Woodbine,359000,734
155,West Dover/Forest Lawn,0,576
8,North Pointe Terminal/Foothills Medical Centre,319000,653
127,Maryvale/Franklin Industrial,18000,455
118,Hidden Valley,0,146
119,Freeport,34000,832
96,McKenzie,438980,959
57,Monterey Park/ McCall Wy NE,62000,405
33,Vista Heights/Rundle,60000,782
27,Willowglen,0,63
157,West Stoney Industrial,151270,852
69,Deerfoot Centre,701330,1352
86,Coventry Hills,0,165
30,Highfield Industrial,151000,691
194,Chaparral Valley/Wolf Willow,238620,488
83,Parkland,0,117
36,Riverbend,630760,1717
46,Beddington,0,243
10,City Hall/Southcentre,547000,1621
449,Eau Claire/Parkhill,348000,971
2,Mount Pleasant/Killarney 17 Av SW,767000,2104
5,North Haven,563000,1997
81,Macleod Tr S,140000,1258
421,Panatella,0,130
7,Marda Loop,521000,1500
82,Nolan Hill,391600,746
54,Edgevalley,0,210
95,Palliser,53000,210
154,Hamptons,0,214
19,16 Avenue North,749510,1722
422,Dalhousie/Montgomery,80000,185
138,Citadel,122660,325
76,Hawkwood,0,148
94,Strathcona/Signal Hill,0,122
125,Cedarbrae,53000,241
111,Old Banff Coach Road,102000,520
113,North Ranchlands/Scenic Acres,52000,136
164,Aspen Summit,59000,300
120,Silver Springs,197000,216
134,Rockland Park,201410,241
299,Arbour Lake,52000,41
40,Crowfoot Station/North Hill,475000,1125
97,South Ranchlands/Scenic Acres,52000,122
53,Brentwood Station/Greenwood,136000,371
51,West Springs/Discovery Ridge,54040,264
126,Braeside,53000,241
13,Altadore,577000,1504
37,Heritage Station/Canyon Meadows,81000,196
131,East Bow Express,851000,1750
151,New Brighton Express,1892390,5008
124,Evanston,62210,243
115,Symons Valley Parkway,90210,619
414,14 St W,415000,809
22,Richmond Rd SW,665000,1604
52,Evergreen/Somerset-Bridlewood Station,134000,473
6,Killarney/26 Av SW,605000,1602
404,North Hill,40000,346
62,Hidden Valley Express,479000,1647
304,MAX Yellow Woodpark/City Centre,994000,2842
104,Sunnyside/University of Calgary,178000,522
91,Foothills Medical Centre,256000,467
66,Lakeview,650000,1301
90,Bridgeland/University of Calgary,975000,2130
303,MAX Orange Brentwood/Saddletowne,908510,3497
77,Edgemont,0,160
306,MAX Teal Westbrook/Douglas Glen,637780,2347
129,Dalhousie Station/Sage Hill,58380,420
93,Coach Hill/Westbrook Station,59000,561
123,Sage Hill/North Pointe Terminal,206600,399
105,Dalhousie Station/Lions Park Station,114000,510
9,Dalhousie Station/Chinook Station,938000,2566
65,Market Mall/Downtown West,347000,729
98,Cougar Ridge,0,233
1,Bowness/Forest Lawn,740550,2705
156,Aspen Woods,0,120
26,Sarcee Trail Crosstown,332020,652
74,Tuscany,42000,22
158,Royal Oak,42000,109
201,Red Line,921140,2129
174,Tuscany,0,22
169,Rocky Ridge,0,51
108,Paskapoo Slopes,231000,364
70,Valley Ridge Express,893000,1865
