Route_Short_Name,Route_Long_Name,Number_of_Bus-Only-Lanes,daily_trips,peak_trips,peak_headway_minutes,non_peak_headway_minutes,Traffic_Volume,Incidents,estimated_riders,priority_metric,incident_to_volume_ratio,volume_to_incident_ratio,normalized_incident_ratio,normalized_volume_ratio,flow_impedance,Cluster,Has_Bus_Lane
38,Brentwood Station/Temple,0,561,122,8.017857143,9.569116527,365330,1228,17137.66667,37.796715495828515,0.003361344537815125,297.2579332790887,5.835667600373481e-16,0.16278410631950097,15.076848314265797,0,False
68,68 St E,0,218,58,15.96503497,19.5,257550,1212,7577.666667,34.273462505367846,0.004705882352941175,212.32481450948063,8.169934640522873e-16,0.11627311270757272,12.702843472473472,1,False
150,114 Av SE,0,126,40,19.6,20.0,476980,1169,4697.833333,36.31020186648406,0.0024508365130613435,407.6752136752137,4.2549245018426104e-16,0.22325071225071225,17.083463020701696,0,False
555,Dashmesh Centre,1,11,4,60.0,60.0,58000,1119,1764.666667,27.470913416693822,0.01929310344827583,51.785714285714285,3.349497126436776e-15,0.028358843537414965,7.927899450032892,1,True
440,Chateau Estates/Franklin Station,0,46,18,56.5,56.16666667,116550,701,2405.5,31.071044270124286,0.006014586014586009,166.02564102564102,1.0441989608656266e-15,0.09091880341880341,6.661994185069394,1,False
43,McKnight - Westwinds Station/Chinook Station,0,560,128,7.33592881,9.517337032,747780,2804,18276.83333,48.678125424692226,0.003749765973949557,266.5882352941176,6.510010371440202e-16,0.14598879551820726,32.59981542046496,0,False
101,Inglewood,2,128,30,25.5,28.28043478,430000,1001,4319.666667,25.690994555651496,0.0023279069767441853,429.14171656686625,4.041505167958655e-16,0.23500617811995056,15.084244182685413,2,True
4,Huntington,0,191,44,11.2,12.13235294,500000,1776,6753.833333,38.24981947797459,0.003551999999999999,281.37310073157005,6.166666666666665e-16,0.15408526944824072,21.205499661323866,0,False
80,Homestead,0,30,16,30.0,30.75,47950,161,1674.666667,30.22557318297704,0.0033576642335766353,295.98765432098764,5.82927818329277e-16,0.16208847736625512,1.9777974754167618,1,False
75,Somerset - Mahogany,0,304,74,12.54901961,15.4215317,419420,795,10241.83333,34.82031342046576,0.0018954747031615083,526.9095477386935,3.2907546929887294e-16,0.28854570471404645,13.626832435924872,1,False
149,Point Trotter Industrial,0,234,70,13.6,15.25854701,330780,874,7953.5,34.349056347300454,0.002642239554991232,378.0342857142857,4.587221449637556e-16,0.20701877551020406,12.226371206414575,1,False
79,Cranston / Mahogany,0,138,40,24.625,26.48484848,56040,154,5433.833333,27.605527841943513,0.0027480371163454624,361.5483870967742,4.770897771433094e-16,0.19799078341013823,2.1068736318275754,1,False
147,Starfield Industrial,0,98,32,32.0,32.0,166980,641,4052.666667,30.861792303102526,0.0038387830877949433,260.0934579439252,6.664553971866221e-16,0.14243213173119712,7.368594656115135,1,False
167,Legacy,0,190,48,9.545454545,12.70149254,238620,383,6093.666667,30.067730621143802,0.0016050624423770005,621.40625,2.786566740237848e-16,0.34029389880952376,7.337651648188529,1,False
